"cluster","GO_ID","overlap","query_size","term_size","background_size","p_value","p_adj","GO_term","minus_log10_p"
"C6","GO:0002181",1,768,9,13936,0.39969817666997,0.503905201301784,"GO:0002181",0.398267832885696
"C6","GO:0006101",1,768,9,13936,0.39969817666997,0.503905201301784,"GO:0006101",0.398267832885696
"C6","GO:0009959",1,768,9,13936,0.39969817666997,0.503905201301784,"GO:0009959",0.398267832885696
"C6","GO:0015866",1,768,9,13936,0.39969817666997,0.503905201301784,"GO:0015866",0.398267832885696
"C6","GO:0048193",1,768,9,13936,0.39969817666997,0.503905201301784,"GO:0048193",0.398267832885696
"C6","GO:0005975",9,768,148,13936,0.42990242173032,0.53233092521519,"GO:0005975",0.366630108404388
"C6","GO:0007015",1,768,10,13936,0.432801630415749,0.53233092521519,"GO:0007015",0.363711111858905
"C6","GO:0009555",1,768,10,13936,0.432801630415749,0.53233092521519,"GO:0009555",0.363711111858905
"C6","GO:0009740",1,768,10,13936,0.432801630415749,0.53233092521519,"GO:0009740",0.363711111858905
"C6","GO:0050821",1,768,10,13936,0.432801630415749,0.53233092521519,"GO:0050821",0.363711111858905
"C6","GO:0051085",1,768,10,13936,0.432801630415749,0.53233092521519,"GO:0051085",0.363711111858905
"C6","GO:0097502",1,768,10,13936,0.432801630415749,0.53233092521519,"GO:0097502",0.363711111858905
"C6","GO:0008654",1,768,11,13936,0.464081850711649,0.557213922793239,"GO:0008654",0.333405415614381
"C6","GO:0009909",1,768,11,13936,0.464081850711649,0.557213922793239,"GO:0009909",0.333405415614381
"C6","GO:0010027",1,768,11,13936,0.464081850711649,0.557213922793239,"GO:0010027",0.333405415614381
"C6","GO:0016126",1,768,11,13936,0.464081850711649,0.557213922793239,"GO:0016126",0.333405415614381
"C6","GO:0035246",1,768,11,13936,0.464081850711649,0.557213922793239,"GO:0035246",0.333405415614381
"C6","GO:0045492",1,768,11,13936,0.464081850711649,0.557213922793239,"GO:0045492",0.333405415614381
"C6","GO:1900150",1,768,11,13936,0.464081850711649,0.557213922793239,"GO:1900150",0.333405415614381
"C6","GO:0006506",2,768,29,13936,0.480141856097606,0.574542627804932,"GO:0006506",0.318630433002135
"C6","GO:0006811",1,768,12,13936,0.493639131763962,0.58474702521033,"GO:0006811",0.306590420215626
"C6","GO:0009231",1,768,12,13936,0.493639131763962,0.58474702521033,"GO:0009231",0.306590420215626
"C6","GO:0009409",1,768,12,13936,0.493639131763962,0.58474702521033,"GO:0009409",0.306590420215626
"C6","GO:0090502",2,768,31,13936,0.515801075601865,0.605636825325451,"GO:0090502",0.287517756561269
"C6","GO:0034599",1,768,13,13936,0.521568257504071,0.605636825325451,"GO:0034599",0.282688847510624
